date,title,impressions,reactions,comments,reposts,format,pillar,chars
2026-05-04,Onboarding 6 weeks to 4 days,8120,214,63,11,text-post,trust-debt,1450
2026-05-11,dbt exposures rollout,3050,61,9,2,text-post,modelling,620
2026-05-18,Hiring the first analytics engineer,2110,39,6,1,text-post,hiring,540
2026-05-25,Cost teardown carousel,5400,132,28,9,document-carousel,trust-debt,900
2026-06-01,Why we deleted the kickoff call,4300,97,24,5,text-post,trust-debt,1610
2026-06-08,Modelling tradeoffs,1780,28,3,0,text-post,modelling,480
2026-06-15,Analytics engineer job spec,2450,44,11,2,text-post,hiring,700
2026-06-22,Queue time carousel,6900,168,41,14,document-carousel,trust-debt,1100
2026-06-29,Three dbt anti-patterns,3600,74,15,3,document-carousel,modelling,950
2026-07-06,What I got wrong about capacity,5100,121,33,6,text-post,trust-debt,1720
2026-07-13,Interview loop for analytics engineers,1950,31,4,1,text-post,hiring,510
2026-07-20,Freshness SLAs,2800,52,12,2,text-post,modelling,820
